"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"1";NA;NA;NA;NA;"NA"
"2";NA;"12 Finger Dan";"0";"12-Finger-Dan";"NA"
"3";"547530";"18 Karat";"1";"18-Karat";"german"
"4";"24476";"3Plusss";"1";"3Plusss";"german"
"5";"20278";"4tune";"1";"4tune";"german"
"6";NA;"7inch";"0";"7inch";"NA"
"7";"31834";"Abroo";"2";"Abroo";"german"
"8";"1667550";"Abroozzy";"2";"Abroo";"middle_frisian"
"9";"106284";"Antihelden";"1";"Antihelden";"german"
"10";"20543";"Absztrakkt";"3";"Absztrakkt";"keine_erfolgreiche_stichprobe"
"11";"498274";"Absztrakkt & Cr7z";"3";"Absztrakkt";"german"
"12";"215440";"Absztrakkt & Roey Marquis II.";"3";"Absztrakkt";"german"
"13";"18533";"AchtVier";"3";"AchtVier";"german"
"14";"323583";"AchtVier & Gzuz";"3";"AchtVier";"german"
"15";"1295064";"Nura & AchtVier";"3";"AchtVier";"german"
"16";"12482";"Afrob";"2";"Afrob";"german"
"17";"1207292";"Newen Afrobeat";"2";"Afrob";"spanish"
"18";"40769";"ASD";"1";"ASD";"english"
"19";"16028";"Brothers Keepers";"1";"Brothers-Keepers";"german"
"20";NA;"Afro Hesse";"0";"Afro-Hesse";"NA"
"21";"1011295";"Ahzumjot & Lance Butters";"1";"Ahzumjot";"german"
"22";"191839";"Ali Bumaye";"1";"Ali-Bumaye";"german"
"23";"44904";"Fluid (Albino Blacksheep)";"2";"Albino";"english"
"24";"491048";"Tomaso Albinoni";"2";"Albino";"portuguese"
"25";"223897";"Alexis Troy";"1";"Alexis-Troy";"keine_erfolgreiche_stichprobe"
"26";NA;"Al Gear";"0";"Al-Gear";"NA"
"27";"29396";"Ali As";"1";"Ali-As";"german"
"28";"32766";"Alina Baraz";"2";"Alina";"scots"
"29";"424062";"Alina Baraz & Galimatias";"2";"Alina";"english"
"30";"15506";"Alligatoah";"1";"Alligatoah";"german"
"31";"26447";"Trailerpark";"1";"Trailerpark";"german"
"32";"17856";"Alpa Gun";"1";"Alpa-Gun";"german"
"33";"453701";"Rodrigo Amarante";"1";"Amar";"portuguese"
"34";"20633";"Amewu";"1";"Amewu";"german"
"35";"14485";"Animus";"1";"Animus";"german"
"36";"278349";"Antifuchs";"1";"Antifuchs";"german"
"37";NA;"Aside";"0";"Aside";"NA"
"38";"29943";"Audio88 & Yassin";"1";"Audio88";"german"
"39";"11829";"Azad";"3";"Azad";"german"
"40";"13047";"Azad Right";"3";"Azad";"scots"
"41";"67699";"Kool Savas & Azad";"3";"Azad";"german"
"42";"1497324";"Asiatic Warriors";"1";"Asiatic-Warriors";"german"
"43";"68538";"Warheit";"1";"Warheit";"keine_erfolgreiche_stichprobe"
"44";"534027";"Kaka Azraff";"3";"Azra";"indonesian"
"45";"104460";"Eko Fresh & Azra";"3";"Azra";"german"
"46";"1066416";"Azrael.XS";"3";"Azra";"english"
"47";"178366";"Azzi Memo";"1";"Azzi-Memo";"german"
"48";"12433";"Baba Saad";"1";"Baba-Saad";"german"
"49";"53445";"Bacapon";"1";"Bacapon";"german"
"50";"346761";"Bahari";"2";"Bahar";"scots"
"51";"64877";"Bahar";"2";"Bahar";"english"
"52";"13363";"Bass Sultan Hengzt";"1";"Bass-Sultan-Hengzt";"german"
"53";"201261";"Berlins Most Wanted";"1";"Berlins-Most-Wanted";"german"
"54";NA;"BattleBoi Basti";"0";"BattleBoi-Basti";"NA"
"55";NA;"Beatbox Eliot";"0";"Beatbox-Eliot";"NA"
"56";NA;"Beatzarre";"0";"Beatzarre";"NA"
"57";"259515";"Muhabbet & Bektas Günes";"2";"Bektas";"danish"
"58";"635217";"Bektas Günes";"2";"Bektas";"turkish"
"59";"31769";"Ben Salomo";"1";"Ben-Salomo";"german"
"60";"268853";"Bero Bass";"1";"Bero-Bass";"german"
"61";"134291";"Big Derill Mack";"1";"Big-Derill-Mack";"german"
"62";NA;"Masters of Rap";"0";"Masters-of-Rap";"NA"
"63";NA;"Biztram";"0";"Biztram";"NA"
"64";"14316";"Bizzy Montana";"2";"Bizzy-Montana";"german"
"65";"115683";"Chakuza & Bizzy Montana";"2";"Bizzy-Montana";"keine_erfolgreiche_stichprobe"
"66";NA;"B Lash";"0";"B-Lash";"NA"
"67";NA;"Bülent Çelebi";"0";"Bülent-Çelebi";"NA"
"68";"337957";"Digger Dance";"1";"Digger-Dance";"german"
"69";"42789";"Blokkmonsta";"4";"Blokkmonsta";"keine_erfolgreiche_stichprobe"
"70";"559952";"Uzi, Blokkmonsta & Schwartz";"4";"Blokkmonsta";"german"
"71";"336485";"Blokkmonsta & Uzi";"4";"Blokkmonsta";"german"
"72";"329076";"Blokkmonsta, Uzi & SDBY";"4";"Blokkmonsta";"german"
"73";"16232";"Blumio";"1";"Blumio";"german"
"74";"82061";"Blut & Kasse";"1";"Blut-&-Kasse";"german"
"75";"18685";"Boba Fettt";"1";"Boba-Fettt";"german"
"76";NA;"Bo Flower";"0";"Bo-Flower";"NA"
"77";"978712";"Bonez MC & RAF Camora";"2";"Bonez-MC";"german"
