V1;artist_id;artist_name;song_id;song_name;album_id;release_date;release_year;Mentions_Cocain;Mentions_Cannabis;album_name
3;547530;18 Karat;3708615;Bam Bam (Ft. Play69);511256;04.05.2018;2018;0;1;Geld Gold Gras (Supremos Tour Edition)
4;547530;18 Karat;3048131;Bis zum bitteren Ende;338984;07.04.2017;2017;1;1;Gesetzlos EP
5;547530;18 Karat;3045921;Braun grün gelb lila (Ft. Play69);331313;07.04.2017;2017;1;1;PUSHA
6;547530;18 Karat;2408661;Chivatos;132419;17.01.2016;2016;0;0;FSK18 Brutal
7;547530;18 Karat;3048344;Crackcity;331313;07.04.2017;2017;1;1;PUSHA
8;547530;18 Karat;3241570;Das Beste vom Besten;132419;17.01.2016;2016;0;1;FSK18 Brutal
9;547530;18 Karat;2434413;Dein Sohn;132419;17.01.2016;2016;0;0;FSK18 Brutal
10;547530;18 Karat;3046511;Dieser Weg;331313;07.04.2017;2017;1;0;PUSHA
11;547530;18 Karat;3500719;Dort wo ich steh (Ft. KC Rebell);393566;09.03.2018;2018;0;1;Geld Gold Gras
12;547530;18 Karat;2275592;Fast Money Fast Life;132419;17.01.2016;2016;1;1;FSK18 Brutal
13;547530;18 Karat;3048119;Fick die Polizei;338984;07.04.2017;2017;1;0;Gesetzlos EP
14;547530;18 Karat;3048088;Fick Rap;338984;07.04.2017;2017;0;1;Gesetzlos EP
15;547530;18 Karat;2993783;FMFL 2.0;331313;07.04.2017;2017;1;1;PUSHA
16;547530;18 Karat;2434423;FSK18 Brutal;132419;17.01.2016;2016;1;1;FSK18 Brutal
17;547530;18 Karat;3040149;Gangsta Gangsta;331313;07.04.2017;2017;1;1;PUSHA
18;547530;18 Karat;3046317;Gegen den Fame;331313;07.04.2017;2017;0;0;PUSHA
19;547530;18 Karat;3500714;Geld Gold Gras;393566;09.03.2018;2018;1;1;Geld Gold Gras
20;547530;18 Karat;2435466;Get Rich Or Die Try'n;132419;17.01.2016;2016;1;1;FSK18 Brutal
21;547530;18 Karat;3500724;Ghetto Prominenz;393566;09.03.2018;2018;0;1;Geld Gold Gras
22;547530;18 Karat;3500716;Global Player;393566;09.03.2018;2018;0;1;Geld Gold Gras
23;547530;18 Karat;3500728;Hublot;393566;09.03.2018;2018;1;1;Geld Gold Gras
24;547530;18 Karat;3500720;Hundert Prozent;393566;09.03.2018;2018;1;1;Geld Gold Gras
25;547530;18 Karat;3429990;Hustla;393566;09.03.2018;2018;1;1;Geld Gold Gras
26;547530;18 Karat;3046313;Ich glaub an dich;331313;07.04.2017;2017;0;0;PUSHA
27;547530;18 Karat;3500740;Illegal (Ft. Dabbl, Guantanamo, Hamada (DE) & Play69);393566;09.03.2018;2018;1;1;Geld Gold Gras
28;547530;18 Karat;3045963;Illegaler Lifestyle;331313;07.04.2017;2017;0;1;PUSHA
