"";"x"
"1";"12-Finger-Dan"
"2";"18-Karat"
"3";"3Plusss"
"4";"4tune"
"5";"7inch"
"6";"Abroo"
"7";"Antihelden"
"8";"Absztrakkt"
"9";"AchtVier"
"10";"Afrob"
"11";"ASD"
"12";"Brothers-Keepers"
"13";"Afro-Hesse"
"14";"Ahzumjot"
"15";"Ali-Bumaye"
"16";"Albino"
"17";"Alexis-Troy"
"18";"Al-Gear"
"19";"Ali-As"
"20";"Alina"
"21";"Alligatoah"
"22";"Trailerpark"
"23";"Alpa-Gun"
"24";"Amar"
"25";"Amewu"
"26";"Animus"
"27";"Antifuchs"
"28";"Aside"
"29";"Audio88"
"30";"Azad"
"31";"Asiatic-Warriors"
"32";"Warheit"
"33";"Azra"
"34";"Azzi-Memo"
"35";"Baba-Saad"
"36";"Bacapon"
"37";"Bahar"
"38";"Bass-Sultan-Hengzt"
"39";"Berlins-Most-Wanted"
"40";"BattleBoi-Basti"
"41";"Beatbox-Eliot"
"42";"Beatzarre"
"43";"Bektas"
"44";"Ben-Salomo"
"45";"Bero-Bass"
"46";"Big-Derill-Mack"
"47";"Masters-of-Rap"
"48";"Biztram"
"49";"Bizzy-Montana"
"50";"B-Lash"
"51";"Bülent-Çelebi"
"52";"Digger-Dance"
"53";"Blokkmonsta"
"54";"Blumio"
"55";"Blut-&-Kasse"
"56";"Boba-Fettt"
"57";"Bo-Flower"
"58";"Bonez-MC"
"59";"187-Strassenbande"
"60";"Bosca"
"61";"Boshi-San"
"62";"Arye-Sharuz-Shalicar"
"63";"Boulevard-Bou"
"64";"Boz"
"65";"BRKN"
"66";"Bruda-Sven"
"67";"B-Tight"
"68";"Alles-ist-die-Sekte"
"69";"George-Boateng"
"70";"Buddy-Buxbaum"
"71";"Deichkind"
"72";"Bürger-Lars-Dietrich"
"73";"Bushido"
"74";"Caddy-Pack"
"75";"Capital-Bra"
"76";"Capkekz"
"77";"Capo"
"78";"Cappuccino"
"79";"Jazzkantine"
"80";"Captain-Gips"
"81";"Caput"
"82";"Carlprit"
"83";"Cashisclay"
"84";"CashMo"
"85";"Casper"
"86";"Casper-Hight"
"87";"Chaoze-One"
"88";"Choukri-Gustmann"
"89";"Charnell"
"90";"Chefket"
"91";"Chima"
"92";"Clueso"
"93";"Colos"
"94";"Cora-E."
"95";"Corus-86"
"96";"Costik-Iwey"
"97";"Cr7z"
"98";"Credibil"
"99";"Cro"
"100";"Cronite"
"101";"Crystal-F"
"102";"Ruffiction"
"103";"Curse"
"104";"Damion-Davis"
"105";"Danger-Dan"
"106";"Antilopen-Gang"
"107";"Danju"
"108";"Danny-Fresh"
"109";"W4C"
"110";"Dardan"
"111";"Darn"
"112";"Das-Bo"
"113";"Der-Tobi-&-das-Bo"
"114";"Fünf-Sterne-deluxe"
"115";"David-Asphalt"
"116";"David-P."
"117";"Main-Concept"
"118";"D-Bo"
"119";"DCVDNS"
"120";"Dean-Dawson"
"121";"Spezializtz"
"122";"Dee-Ex"
"123";"Dendemann"
"124";"Eins-Zwo"
"125";"Dennis-Lisk"
"126";"Beginner"
"127";"Der-Asiate"
"128";"Der-Wolf"
"129";"Destroy-Degenhardt"
"130";"Dexter"
"131";"D-Flame"
"132";"D-Irie"
"133";"Disarstar"
"134";"Dissy"
"135";"Dissziplin"
"136";"DJ-Desue"
"137";"DJ-Dynamite"
"138";"Dynamite-Deluxe"
"139";"DJ-Ilan"
"140";"DJ-Koze"
"141";"Fischmob"
"142";"Marius-No.1"
"143";"DJ-Mike-MD"
"144";"Advanced-Chemistry"
"145";"DJ-Mirko-Machine"
"146";"DJ-MK-1"
"147";"Beatfabrik"
"148";"DJ-Polique"
"149";"Follow-Your-Instinct"
"150";"DJ-Reckless"
"151";"DJ-Smoove"
"152";"DJ-Stylewarz"
"153";"No-Remorze"
"154";"DJ-Thomilla"
"155";"Kolchose"
"156";"Turntablerocker"
"157";"DJ-Tomekk"
"158";"Djorkaeff"
"159";"Doppel-U"
"160";"Dra-Q"
"161";"Dr.-Knarf"
"162";"Dú-Maroc"
"163";"Ebow"
"164";"Edgar-Wasser"
"165";"Edward-Sizzerhand"
"166";"Square-One"
"167";"Eko-Fresh"
"168";"Elmo"
"169";"Eno"
"170";"Wiesbaden"
"171";"EnteTainment"
"172";"Ercandize"
"173";"ÉSMaticx"
"174";"Attendorn"
"175";"EstA"
"176";"Estikay"
"177";"Eunique"
"178";"Fader-Gladiator"
"179";"Die-Firma"
"180";"Falk-Schacht"
"181";"Fard"
"182";"Fargo"
"183";"The-Love-Bülow"
"184";"Farid-Bang"
"185";"Fatal"
"186";"Fatoni"
"187";"Creme-Fresh"
"188";"Favorite"
"189";"Fero47"
"190";"Freaks-Association-Bremen"
"191";"Fiva"
"192";"FlowinImmO"
"193";"Fler"
"194";"Fousy"
"195";"Fabian-Römer"
"196";"Franky-Kubrick"
"197";"Frauenarzt"
"198";"Michael-Galla"
"199";"Ruhrpott-AG"
"200";"Gary-Washington"
"201";"Gee-Futuristic"
"202";"Germ"
"203";"G-Hot"
"204";"Gio"
"205";"Goldroger"
"206";"Gozpel"
"207";"GPC"
"208";"Greckoe"
"209";"GReeeN"
"210";"Grim104"
"211";"Gringo"
"212";"Gzuz"
"213";"Haben"
"214";"Haftbefehl"
"215";"Haiyti"
"216";"Hakan-Abi"
"217";"Hamad-45"
"218";"Hannes-Loh"
"219";"Anarchist-Academy"
"220";"Hanybal"
"221";"Harris"
"222";"Deine-Lieblings-Rapper"
"223";"Hartmann"
"224";"Hasan.K"
"225";"Haszcara"
"226";"Haze"
"227";"Herzog"
"228";"Hollywood-Hank"
"229";"Hubert-Daviz"
"230";"Hustensaft-Jüngling"
"231";"Illmatic"
"232";"Illo"
"233";"Italo-Reno"
"234";"Italo-Reno-&-Germany"
"235";"Jack-Orsen"
"236";"Jalil"
"237";"Jambeatz"
"238";"Jan-Delay"
"239";"La-Boom"
"240";"JankOne"
"241";"Jasko"
"242";"Majoe-&-Jasko"
"243";"JAW"
"244";"JayJay"
"245";"Jaysus"
"246";"Jazn"
"247";"Jazzy"
"248";"Tic-Tac-Toe"
"249";"Jephza"
"250";"Jeyz"
"251";"Jigzaw"
"252";"J-Luv"
"253";"Hagen-Stoll"
"254";"Haudegen"
"255";"Johnny-Mauser"
"256";"Neonschwarz"
"257";"JokA"
"258";"Samson-Jones"
"259";"Joy-Denalane"
"260";"Joznez"
"261";"J.-S.-Kuster"
"262";"Snowgoons"
"263";"Juju"
"264";"SXTN"
"265";"Juri"
"266";"Juse-Ju"
"267";"Justus"
"268";"Juvel"
"269";"Kaas"
"270";"Die-Orsons"
"271";"Kaisa"
"272";"Kalim"
"273";"Kalusha"
"274";"Kami-Manns"
"275";"Basis"
"276";"Karate-Andi"
"277";"Kayef"
"278";"Kay-One"
"279";"KC-Rebell"
"280";"KD-Beatz"
"281";"KD-Supier"
"282";"Keyza-Soze"
"283";"Kex-Kuhl"
"284";"K-Fly"
"285";"Killa-Hakan"
"286";"Islamic-Force"
"287";"Kianush"
"288";"King-Eazy"
"289";"King-Khalil"
"290";"King-Orgasmus-One"
"291";"Kitty-Kat"
"292";"Kodimey"
"293";"Kollegah"
"294";"Selfmade-Records"
"295";"Boris-Lauterbach"
